ID;OBJ_ID;NAME;PID
1;01DEB173-1204-4D67-AC54-C8F8597CF2BA-00001;其他;1
2;1B8DFE71-067D-461F-834F-626DA93A0C7F-00001;配置类;01DEB173-1204-4D67-AC54-C8F8597CF2BA-00001
3;C1AFD8CB-FDDA-49FB-8536-A669F0C82F1F-00001;对话框类;01DEB173-1204-4D67-AC54-C8F8597CF2BA-00001
4;030224AC-3FE7-44A9-8368-A2246A8D0733-00001;设备查询统计;1
5;30BA1D63-7EE3-443E-96CB-43710BF0C692-00001;生产辅助设备;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
6;3D04753D-0C4D-446E-A5C8-9BD64241E168-00001;低压设备;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
7;42141FFF-AF90-41C7-A9DE-D4F32E906D97-00001;备品备件;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
8;467F4DA4-AA89-49DC-AD6A-E204947BA1CF-00001;水电台帐查询统计;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
9;58041B40-14B2-45EB-92E9-B01A7F76B2FF-00001;换流站阀系统;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10;617B92AC-FD06-4048-9D5D-7651DCF229A9-00001;调相机辅助系统;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
11;6BC0071A-0464-4320-8620-CDBD6137BE4D-00001;站内一次设备;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
12;973C2ACC-97D8-491F-A265-526D6234CC34-00001;站外一次设备;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
13;99243F3F-3631-4259-8716-148C9A4B5EC4-00001;二次设备;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
14;A9495682-164F-44F1-A8B6-217BA288241D-00001;交直流电源及站用电系统;99243F3F-3631-4259-8716-148C9A4B5EC4-00001
15;AE3F8BB2-7C70-4C10-99D6-3041D39D9104-00001;控制及保护装置;99243F3F-3631-4259-8716-148C9A4B5EC4-00001
16;FC95A07A-9B33-4BDA-AB4F-4CAF9C3068CC-00001;自动化设备;99243F3F-3631-4259-8716-148C9A4B5EC4-00001
17;0D55E57D-2677-47BB-88F0-A6A5BE914A9E-00001;练习;1
18;302881b03f8430da013f843393b700020000000001;站内交流一次设备;1
19;73A7EA70-DD9D-4959-A4B9-824319C7E7E7-00001;设备部件/附件;302881b03f8430da013f843393b700020000000001
20;D644DEAB-D87E-49C9-9511-D9F512E0EBD7-00001;主设备;302881b03f8430da013f843393b700020000000001
21;302881b03f8430da013f843393b700020000000002;站外一次设备;1
22;3CC7CD49-48E9-4355-9C0C-322513936B78-00001;架空线路设备;302881b03f8430da013f843393b700020000000002
23;58003681-B0E6-4F3E-8D84-B86CD4C00056-00001;电缆设备;302881b03f8430da013f843393b700020000000002
24;302881b03f8430da013f843393b700020000000003;二次设备;1
25;302881b03f8430da013f843393b800010000000000;控制及保护系统;302881b03f8430da013f843393b700020000000003
26;302881b03f8430da013f843393b800020000000000;自动化设备;302881b03f8430da013f843393b700020000000003
27;396F1055-CE63-46F3-AEAF-C15AAE1AACFA-00001;交直流电源及站用电系统;302881b03f8430da013f843393b700020000000003
28;6B2508DD-3C68-43FE-A08C-37C0682BE995-00001;配电自动化设备;302881b03f8430da013f843393b700020000000003
29;EE779F5F-91F7-4A03-81C5-66A0B9042677-00001;防误闭锁装置;302881b03f8430da013f843393b700020000000003
30;302881b03f8430da013f843393b700020000000004;低压设备;1
31;302881b03f8430da013f843393b700020000000006;生产辅助设施;1
32;0CB0E5AA-9852-4192-AF47-F20C0DA90806-00001;电缆管道设施;302881b03f8430da013f843393b700020000000006
33;CE0A8B2F-0C77-4E4F-AE97-0AD830301EC9-00001;站内生产辅助设施;302881b03f8430da013f843393b700020000000006
34;302881b03f8430da013f843393b700020000000008;直流换流站设备;1
35;302881b03f8430da013f843393b700020000000009;调相机系统;302881b03f8430da013f843393b700020000000008
36;302881b03f8430da013f843393b800010100000001;换流一次设备;302881b03f8430da013f843393b700020000000008
37;302881b03f8430da013f843393b800010100000002;阀内冷水系统;302881b03f8430da013f843393b700020000000008
38;302881b03f8430da013f843393b800010100000003;阀外冷却系统;302881b03f8430da013f843393b700020000000008
39;3D1E6674-8195-41E8-BDB4-6BF065BB9008-00001;资产管理;1
40;3D1E6674-8195-41E8-BDB4-6BF065BR3008-00001;工器具及仪器仪表;1
41;47085CB1-7A06-40A0-B178-BC9578C35E3B-00001;帐卡一致性	;1
42;96D14974-1A1C-4E5F-83AB-6532A540EF2F-00001;帐卡一致性查询;47085CB1-7A06-40A0-B178-BC9578C35E3B-00001
43;55E957A0-713F-4248-83EB-67AB69D5A0C5-00001;在线监测装置;1
44;6B072DCF-B308-4E55-9BE9-469A201EB1CE-00001;备品备件;1
45;AAAFD587-7A1E-47C6-916F-B5BA506D51E4-00001;台帐公共;1
46;3B2B7B21-7002-482D-B785-7116A80B0F97-00001;公共对话框;AAAFD587-7A1E-47C6-916F-B5BA506D51E4-00001
47;4976B295-09F9-4416-A829-4EFD1CEEDE8B-00001;公共台帐;AAAFD587-7A1E-47C6-916F-B5BA506D51E4-00001
10001;FF000000-0000-0020-9000-000000000000-00044;浙江北160;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10002;FF000000-0000-0020-9000-000000000000-00045;天潼799;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10003;FF000000-0000-0020-9000-000000000000-00046;天潼759;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10004;FF000000-0000-0020-9000-000000000000-00048;安庆河南;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10005;FF000000-0000-0020-9000-000000000000-00050;安庆468;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10006;FF000000-0000-0020-9000-000000000000-00215;浙江328;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10007;FF000000-0000-0020-9000-000000000000-00255;ZSB06-04;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10008;FF000000-0000-0020-9000-000000000000-00256;安庆山西;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10009;FF000000-0000-0020-9000-000000000000-00257;zsb;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10010;FF000000-0000-0020-9000-000000000000-00282;塘沽福建;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10011;FF000000-0000-0020-9000-000000000000-00302;新变02;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10012;FF000000-0000-0020-9000-000000000000-00509;天潼山西;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10013;FF000000-0000-0020-9000-000000000000-00510;天潼福建;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10014;FF000000-0000-0020-9000-000000000000-00511;柱上变压器_图形测试;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
10015;FF000000-0000-0020-9000-000000000000-00515;西藏开封;030224AC-3FE7-44A9-8368-A2246A8D0733-00001
